diffusion_input,diffusion_output_heat,diffusion_output_rank,name,selected,shared name
0,1.40771930287285E-08,19704,TRIM61,false,TRIM61
0,0.00482884392822815,1788,NABP2,true,NABP2
0,3.8547752747499E-05,15137,IQCA1P1,false,IQCA1P1
0,6.79844730836118E-05,13491,ABHD17C,false,ABHD17C
0,0.000195835748713363,10367,CNPY3,false,CNPY3
0,0.000193314865254026,10400,WSB1,false,WSB1
0,0.00355588498083072,2787,SETD1A,false,SETD1A
0,6.56346276573028E-05,13593,MYOT,false,MYOT
0,0.00194129322808711,5128,C10orf71,false,C10orf71
0,8.00380165928787E-05,12977,TNFRSF18,false,TNFRSF18
0,0.000663347849215228,8263,NABP1,false,NABP1
0,1.50378363154109E-05,17320,SAMD8,false,SAMD8
0,8.38982515203488E-06,18493,OR13C4,false,OR13C4
0,0.000471709403743387,8734,ZNF592,false,ZNF592
0,0.00172506468453825,6140,ACOT1,false,ACOT1
0,0.000149813714014714,11070,CST9L,false,CST9L
0,2.70550189949709E-05,16078,SNORD28,false,SNORD28
0,0.00274389047188357,3766,SIN3B,false,SIN3B
0,0.000180469236681908,10580,SLC22A2,false,SLC22A2
0,0.00361728332956467,2686,ZNF687,false,ZNF687
0,3.14076761891444E-05,15695,SLC17A9,false,SLC17A9
0,1.42748468350678E-06,19468,PPAPDC1B,false,PPAPDC1B
0,7.45396752829065E-05,13207,STOX1,false,STOX1
0,1.2641543632026E-05,17775,CFAP70,false,CFAP70
0,2.58623462832728E-05,16175,ZNF18,false,ZNF18
0,0.00265274551370812,3856,ACTG2,false,ACTG2
0,0.00159964120091303,6591,EPHX1,false,EPHX1
0,0.00325865680237501,3191,ARHGAP25,false,ARHGAP25
0,0.000244255346566498,9833,PNMA5,false,PNMA5
0,5.80786298173595E-05,13980,C9orf85,false,C9orf85
0,0.00186453855754014,5515,PRLR,false,PRLR
0,6.27488239669146E-05,13724,ZNF761,false,ZNF761
0,0.000250175430998186,9774,MTMR2,false,MTMR2
0,0.00677832172852351,938,SBF1,true,SBF1
0,6.80727509437627E-05,13487,ZNF14,false,ZNF14
0,0.00150126290146918,6878,PHF11,false,PHF11
0,0.000220991929080383,10068,PALM2-AKAP2,false,PALM2-AKAP2
0,0.000156942049144712,10954,LAMC3,false,LAMC3
0,0.000335251453860983,9219,MADD,false,MADD
0,0.000131900159031319,11451,POLR3GL,false,POLR3GL
0,3.50042545278564E-05,15408,LOC728763,false,LOC728763
0,1.5015816763049E-05,17324,ESX1,false,ESX1
0,2.76769970999521E-05,16022,UGT2A3,false,UGT2A3
0,0.00328769136939637,3152,GLI1,false,GLI1
0,0.00572908669181291,1305,YES1,true,YES1
0,9.986330722974E-05,12301,FBXO33,false,FBXO33
0,4.95752123603962E-05,14414,PLEKHM2,false,PLEKHM2
0,4.75854568315815E-07,19513,FAM90A5P,false,FAM90A5P
0,0.0018328170871315,5674,KATNB1,false,KATNB1
0,0.000373319914142289,9051,SOX10,false,SOX10
0,2.22998396584548E-08,19696,UGT2A2,false,UGT2A2
0,4.75854568315815E-07,19512,FAM90A26,false,FAM90A26
0,4.30804106675192E-05,14817,TGIF2-C20orf24,false,TGIF2-C20orf24
0,2.21646534905529E-05,16526,CYP4F12,false,CYP4F12
0,5.42620042071233E-05,14182,CACNA1B,false,CACNA1B
0,0.00643800296344568,1054,HMGB1,true,HMGB1
0,0.00286954530081092,3657,GTF2E2,false,GTF2E2
0,0.00267181256584205,3843,SIGLEC6,false,SIGLEC6
0,0.000114400522491308,11885,SETD4,false,SETD4
0,3.29764292798808E-05,15575,ENTPD3,false,ENTPD3
0,0.000153306797325296,11010,SLC43A3,false,SLC43A3
0,0.000353670631099391,9134,NUDT19,false,NUDT19
0,4.32235436290197E-05,14811,C6orf58,false,C6orf58
0,6.07931074868483E-05,13836,ENTPD5,false,ENTPD5
0,0.00129210663899134,7317,TAF4,false,TAF4
0,0.000277289609663249,9572,BIRC7,false,BIRC7
0,1.30381423488319E-05,17726,TMEM190,false,TMEM190
0,0.0020373169012658,4750,TAF7,false,TAF7
0,3.79368187516132E-05,15185,CD69,false,CD69
0,9.66815378555743E-05,12411,TAF7L,false,TAF7L
0,4.74796602078747E-05,14533,FCRL5,false,FCRL5
0,1.54684075725453E-05,17257,SBDSP1,false,SBDSP1
0,0.00365622730377523,2636,COL6A1,false,COL6A1
0,0.000110231910551605,11999,GRAMD1C,false,GRAMD1C
0,2.67893173121054E-06,19311,LOC100506688,false,LOC100506688
0,0.000840167258308063,8052,SLC25A4,false,SLC25A4
0,0.00142444017551626,7067,FLRT1,false,FLRT1
