,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
ATG7,3,0.032596961215513795,0.012027991683287885,0.3178294573643411,0.010865653738504599
THBS1,2,0.016260162601626015,0.00084484701241036,0.24260355029585798,0.008130081300813007
MLF1,3,0.016486379304487354,0.02176985493202758,0.3455056179775281,0.0054954597681624515
CUX1,3,0.016260162601626015,0.02210327049204762,0.3494318181818182,0.0054200542005420045
TP53,50,0.2656980079772305,0.34777301739325783,0.5801886792452831,0.00531396015954461
TCF4,8,0.03977638843956424,0.06763095683417787,0.4197952218430034,0.00497204855494553
CCND1,15,0.06477796210291611,0.14940860593811223,0.45387453874538747,0.004318530806861075
INTS1,4,0.016926956717882455,0.021944439933248915,0.3435754189944134,0.004231739179470614
STUB1,19,0.0743786999862441,0.15618755342749946,0.467680608365019,0.003914668420328637
CTNNB1,32,0.12207129696797522,0.2451559641618373,0.5168067226890757,0.0038147280302492257
CBL,21,0.07872878922831142,0.1509839470444053,0.4641509433962264,0.003748989963252925
NCAM1,5,0.016870077365879046,0.02158844011851305,0.32887700534759357,0.0033740154731758095
BRCA1,35,0.1164900085039677,0.3002431346116461,0.5189873417721519,0.0033282859572562203
HSPA9,19,0.06234274850296944,0.18294014235890904,0.4900398406374502,0.0032811972896299706
PLK1,20,0.06409184204518925,0.17551765757087712,0.484251968503937,0.0032045921022594626
BCL2,8,0.024996624829444026,0.07660983727380324,0.43006993006993005,0.0031245781036805032
KRAS,14,0.04275800268149688,0.0825918517895838,0.41414141414141414,0.0030541430486783487
HIF1A,18,0.053009070983709015,0.16545339196258707,0.47307692307692306,0.002944948387983834
STAT3,11,0.031212126349671875,0.09620820513205534,0.4270833333333333,0.002837466031788352
PAFAH1B1,5,0.0139933462409275,0.024563502414477877,0.34844192634560905,0.0027986692481855
SF3B1,9,0.024890068806732182,0.07910410289916144,0.4212328767123288,0.00276556320074802
EZH2,19,0.046091822078244415,0.11744504870935993,0.44727272727272727,0.0024258853725391796
CHEK2,8,0.017611051660833193,0.09554875166643477,0.4270833333333333,0.002201381457604149
MAPK8,12,0.02621426309507622,0.10809189512281545,0.43617021276595747,0.002184521924589685
RUNX1,9,0.019231937452845946,0.07582490060246529,0.41836734693877553,0.002136881939205105
IKBKG,10,0.021315422038387762,0.07364674492760835,0.3954983922829582,0.0021315422038387763
RELA,18,0.03826763547797118,0.19371120564210972,0.4880952380952381,0.0021259797487761765
BRCA2,16,0.0330007513357221,0.1537423846955766,0.45724907063197023,0.002062546958482631
CTC1,2,0.0037841060061920007,0.021826861244317073,0.34844192634560905,0.0018920530030960003
ATM,16,0.029593162261134846,0.17643280626824548,0.45555555555555555,0.0018495726413209279
HRAS,11,0.02033103374939883,0.08576532881329509,0.42857142857142855,0.0018482757953998937
PLCG1,8,0.014604248021667798,0.0694656744314062,0.4197952218430034,0.0018255310027084747
APAF1,2,0.0036425187879312133,0.024804381087193197,0.3704819277108434,0.0018212593939656067
FANCD2,21,0.03756006840432793,0.1752040550743817,0.44404332129963897,0.0017885746859203776
NUP98,5,0.008847879703015905,0.04761364436297232,0.38801261829652994,0.001769575940603181
NPM1,22,0.0386458542196945,0.20411516094607537,0.46946564885496184,0.0017566297372588408
NRAS,11,0.01798444835184499,0.0695180800904382,0.412751677852349,0.0016349498501677265
PSMB6,5,0.00814978743299316,0.04359470984688583,0.38317757009345793,0.001629957486598632
RAD51,17,0.02738206476370072,0.1718017024474217,0.45387453874538747,0.001610709691982395
TBC1D9,4,0.005236985610991448,0.020202830784385027,0.3514285714285714,0.001309246402747862
PAFAH1B3,3,0.0038225832432118192,0.02713443450277438,0.375,0.0012741944144039397
CDKN1A,14,0.01783750756333918,0.12748353799013612,0.44565217391304346,0.0012741076830956558
FGF1,2,0.002497202710352746,0.013211637966808977,0.3324324324324324,0.001248601355176373
