,Degree,Betweenness,Eigenvector Centrality,Closeness Centrality,Ratio Btw/Degree
TLR2,2,0.011834319526627219,0.003400744121326011,0.3477366255144033,0.005917159763313609
THBS1,5,0.012064236413124178,0.01427295833544697,0.4052757793764988,0.0024128472826248355
NCAM1,6,0.012054949625691808,0.010077533577433018,0.39858490566037735,0.0020091582709486347
CBL,24,0.0429662466856081,0.05288873481361091,0.48148148148148145,0.001790260278567004
HSPA8,71,0.0963648846263702,0.19751819254554295,0.6123188405797102,0.0013572518961460591
TP53,77,0.10268613954453583,0.2082351661747533,0.6353383458646616,0.0013335862278511146
TCF4,11,0.014118189987560604,0.03032187433697058,0.44473684210526315,0.001283471817050964
INTS1,10,0.01211365720290472,0.03537861270919145,0.42462311557788945,0.001211365720290472
HSP90AA1,58,0.06622946839755475,0.16842151446444056,0.5847750865051903,0.0011418873861647372
AKT1,35,0.035472284778173074,0.10967388980339438,0.528125,0.001013493850804945
MYC,66,0.06369228982602755,0.1969522873567627,0.599290780141844,0.0009650346943337508
KRAS,19,0.017147279059157108,0.04531093718245501,0.4720670391061452,0.0009024883715345846
CHEK2,14,0.012610857717032062,0.04324618756846575,0.45675675675675675,0.0009007755512165759
BCL2,14,0.012091027821374487,0.046465594599931985,0.4747191011235955,0.0008636448443838919
YWHAE,53,0.04491657159400069,0.16756911079726414,0.5671140939597316,0.0008474824829056734
CTNNB1,53,0.043660737408239864,0.1612909115290059,0.5709459459459459,0.0008237874982686766
STAT3,18,0.014682219575521304,0.05739007839287811,0.46944444444444444,0.0008156788653067392
IKBKG,16,0.012823625648759761,0.04419358234649192,0.46174863387978143,0.0008014766030474851
BRCA1,58,0.046454256971857136,0.17847684767062677,0.5748299319727891,0.0008009354650320196
CDK2,40,0.03195453164092001,0.12664154983485063,0.5297805642633229,0.0007988632910230003
BRD4,60,0.04592191287656252,0.18056688559589035,0.5748299319727891,0.0007653652146093754
FZR1,42,0.03110839540832687,0.13556264185134798,0.5451612903225806,0.0007406760811506397
MAPK8,21,0.015480635265960139,0.0667251837531768,0.49271137026239065,0.0007371731079028638
HIF1A,33,0.02282846646958022,0.11061799828183687,0.5297805642633229,0.0006917717111994006
STUB1,31,0.02142022324528899,0.09872172296098536,0.5168195718654435,0.000690974943396419
PLK1,27,0.01741234837019473,0.07286327365583577,0.49560117302052786,0.0006449017914886937
SF3B1,23,0.014154169314644532,0.08829105155424462,0.49560117302052786,0.0006153986658541101
APAF1,5,0.0030461607995681387,0.020708622506703443,0.4183168316831683,0.0006092321599136277
HSPA4,39,0.02319747430443071,0.1302887443304986,0.5451612903225806,0.0005948070334469412
NRAS,14,0.007986741002014222,0.02982376605090422,0.4543010752688172,0.000570481500143873
HSPA9,36,0.019322895337182316,0.1250355746279266,0.5331230283911672,0.0005367470926995088
CDK1,39,0.020372940791494147,0.1164987228185446,0.5248447204968945,0.0005223830972177987
